Report Abuse.

I am Mr. Anthony W. Sokolich.
In 1998, I was awarded the contract by the Federal Ministry of Management to make a construction contract for certain residential projects in the Central Bank in New York, the capital city.
I have since been awarded the contract by the Federal Ministry of Management to make a construction contract for certain residential projects in the Central Bank in New York, the capital city.
The specific nature of this contract is that the funds will be used for construction of three residential projects over the next 12 years.
The contract was awarded to me by the Federal Ministry of Management, the Ministry of Finance, and the Ministry of Commerce.
The contract covers:

• The construction of the four residential projects included in this contract.
• The maintenance of all the other projects, including the use of foreign workers.
• The construction of the new four residential projects which are needed to enable the construction of a major new bank.
• The construction of the new five residential projects which are needed to enable the construction of a major new bank.
The contract is for a total of 15.5 million.5( ) (dollars) (dollars) (dollars) (dollars) (dollars) (dollars) (dollars) (dollars)
The contract gives me 10% of all the total amount of the contract awarded.
I have agreed to deposit this amount wit my personal account with the Federal Ministry of Management, the Ministry of Finance, and the Federal Reserve Bank of New York, NY.
I will be the one to make the final payment to you.
Sincerely,
Mr W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr. Anthony W. Sokolich
Mr
